results_76_clust.F2S.cluster_9.list results_96_clust.S2F.cluster_74.list 4 0.02
results_76_clust.F2S.cluster_59.list results_96_clust.S2F.cluster_64.list 6 0.03
results_76_clust.F2S.cluster_53.list results_96_clust.S2F.cluster_95.list 8 0.01
results_76_clust.F2S.cluster_58.list results_96_clust.S2F.cluster_95.list 38 0.04
results_96_clust.S2F.cluster_44.list results_76_clust.F2S.cluster_57.list 7 0.02
results_76_clust.F2S.cluster_42.list results_96_clust.S2F.cluster_48.list 36 0.12
results_76_clust.F2S.cluster_64.list results_96_clust.S2F.cluster_26.list 13 0.05
results_96_clust.S2F.cluster_38.list results_76_clust.F2S.cluster_28.list 4 0.02
results_96_clust.S2F.cluster_23.list results_76_clust.F2S.cluster_61.list 3 0.01
results_96_clust.S2F.cluster_76.list results_76_clust.F2S.cluster_44.list 6 0.02
results_96_clust.S2F.cluster_60.list results_76_clust.F2S.cluster_55.list 3 0.01
results_76_clust.F2S.cluster_70.list results_96_clust.S2F.cluster_30.list 3 0.00
results_96_clust.S2F.cluster_61.list results_76_clust.F2S.cluster_31.list 3 0.02
results_96_clust.S2F.cluster_63.list results_76_clust.F2S.cluster_34.list 7 0.03
results_96_clust.S2F.cluster_4.list results_76_clust.F2S.cluster_3.list 41 0.08
results_96_clust.S2F.cluster_5.list results_76_clust.F2S.cluster_67.list 281 0.58
results_76_clust.F2S.cluster_4.list results_96_clust.S2F.cluster_8.list 39 0.16
results_76_clust.F2S.cluster_7.list results_96_clust.S2F.cluster_78.list 4 0.02
results_96_clust.S2F.cluster_18.list results_76_clust.F2S.cluster_18.list 10 0.02
results_96_clust.S2F.cluster_86.list results_76_clust.F2S.cluster_19.list 11 0.04
results_76_clust.F2S.cluster_31.list results_96_clust.S2F.cluster_37.list 20 0.08
results_96_clust.S2F.cluster_96.list results_76_clust.F2S.cluster_18.list 7 0.02
results_76_clust.F2S.cluster_36.list results_96_clust.S2F.cluster_96.list 5 0.03
results_76_clust.F2S.cluster_30.list results_96_clust.S2F.cluster_30.list 45 0.06
results_76_clust.F2S.cluster_12.list results_96_clust.S2F.cluster_95.list 26 0.03
results_96_clust.S2F.cluster_57.list results_76_clust.F2S.cluster_71.list 10 0.02
results_76_clust.F2S.cluster_47.list results_96_clust.S2F.cluster_95.list 4 0.01
results_76_clust.F2S.cluster_34.list results_96_clust.S2F.cluster_88.list 15 0.03
results_96_clust.S2F.cluster_84.list results_76_clust.F2S.cluster_60.list 24 0.06
results_96_clust.S2F.cluster_66.list results_76_clust.F2S.cluster_39.list 13 0.02
results_76_clust.F2S.cluster_3.list results_96_clust.S2F.cluster_30.list 66 0.08
results_96_clust.S2F.cluster_51.list results_76_clust.F2S.cluster_76.list 9 0.02
results_96_clust.S2F.cluster_34.list results_76_clust.F2S.cluster_50.list 9 0.03
results_96_clust.S2F.cluster_17.list results_76_clust.F2S.cluster_41.list 23 0.04
results_96_clust.S2F.cluster_10.list results_76_clust.F2S.cluster_23.list 11 0.03
results_76_clust.F2S.cluster_45.list results_96_clust.S2F.cluster_95.list 9 0.01
results_96_clust.S2F.cluster_7.list results_76_clust.F2S.cluster_21.list 9 0.02
results_76_clust.F2S.cluster_1.list results_96_clust.S2F.cluster_72.list 4 0.01
results_96_clust.S2F.cluster_53.list results_76_clust.F2S.cluster_28.list 2 0.01
results_96_clust.S2F.cluster_73.list results_76_clust.F2S.cluster_19.list 8 0.03
results_76_clust.F2S.cluster_8.list results_96_clust.S2F.cluster_95.list 11 0.01
results_76_clust.F2S.cluster_60.list results_96_clust.S2F.cluster_88.list 48 0.09
results_76_clust.F2S.cluster_14.list results_96_clust.S2F.cluster_95.list 10 0.01
results_76_clust.F2S.cluster_44.list results_96_clust.S2F.cluster_25.list 17 0.03
results_76_clust.F2S.cluster_67.list results_96_clust.S2F.cluster_5.list 281 0.58
results_76_clust.F2S.cluster_57.list results_96_clust.S2F.cluster_95.list 26 0.03
results_76_clust.F2S.cluster_43.list results_96_clust.S2F.cluster_51.list 6 0.03
results_76_clust.F2S.cluster_10.list results_96_clust.S2F.cluster_82.list 3 0.02
results_96_clust.S2F.cluster_68.list results_76_clust.F2S.cluster_60.list 22 0.05
results_96_clust.S2F.cluster_62.list results_76_clust.F2S.cluster_28.list 2 0.01
results_96_clust.S2F.cluster_50.list results_76_clust.F2S.cluster_18.list 11 0.03
results_96_clust.S2F.cluster_74.list results_76_clust.F2S.cluster_55.list 11 0.02
results_76_clust.F2S.cluster_56.list results_96_clust.S2F.cluster_79.list 5 0.02
results_96_clust.S2F.cluster_20.list results_76_clust.F2S.cluster_26.list 5 0.02
results_96_clust.S2F.cluster_49.list results_76_clust.F2S.cluster_21.list 8 0.02
results_76_clust.F2S.cluster_2.list results_96_clust.S2F.cluster_95.list 14 0.02
results_76_clust.F2S.cluster_13.list results_96_clust.S2F.cluster_78.list 5 0.02
results_96_clust.S2F.cluster_67.list results_76_clust.F2S.cluster_58.list 18 0.03
